Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Issuing Agency,Street Code1,Street Code2,Street Code3,Vehicle Expiration Date,Violation Location,Violation Precinct,Issuer Precinct,Issuer Code,Issuer Command,Issuer Squad,Violation Time,Time First Observed,Violation County,Violation In Front Of Or Opposite,House Number,Street Name,Intersecting Street,Date First Observed,Law Section,Sub Division,Violation Legal Code,Days Parking In Effect    ,From Hours In Effect,To Hours In Effect,Vehicle Color,Unregistered Vehicle?,Vehicle Year,Meter Number,Feet From Curb,Violation Post Code,Violation Description,No Standing or Stopping Violation,Hydrant Violation,Double Parking Violation
1361929741,FCJ5493,NY,PAS,12/18/70,20,SUBN,GMC,S,35030,89180,32600,20140728,70,70,0,829379,KS14,0,0358A,,K,F,959,E 5 ST,,0,408,E2,,BBBBBBB,ALL,ALL,BLACK,0,2013,-,0,,,,,
1366962000,63540MC,NY,COM,2/2/71,46,DELV,FRUEH,P,58830,11430,11450,0,68,68,68,928157,68,0,1116A,,K,F,185,MARINE AVENUE,,0,408,F1,,BBBBBBB,ALL,ALL,BRN,0,2013,-,0,,,,,
1342296217,FYM5117,NY,SRF,9/18/71,21,SUBN,NISSA,S,28190,55690,11590,20140427,104,104,0,515350,QW05,0,0950A,,,O,54-14,ANDREWS AVE,,0,408,D1,,BBYBBBB,0930A,1100A,WHITE,0,2012,-,0,,,,,
1342296199,95V6675,TX,PAS,9/18/71,21,,GMC,S,11790,35780,57890,0,104,104,0,515350,QW05,0,0945A,,,F,60-12,56 ST,,0,408,D1,,BBYBBBB,0930A,1100A,SILVR,0,2008,-,0,,,,,
1342296187,GCY4187,NY,SRF,9/18/71,21,VAN,FORD,S,11790,35780,57890,20150430,104,104,0,515350,QW05,0,0939A,,,O,60-25,56 ST,,0,408,D1,,BBYBBBB,0930A,1100A,BLUE,0,2002,-,0,,,,,
1337077380,18972BB,NY,999,10/10/71,14,BUS,INTER,P,8440,19190,19290,20140228,115,115,115,942218,115,0,0115P,,Q,F,99-01,34 AVE,,0,408,C,,BBBBBBB,0700A,0400P,YELLO,0,2001,-,0,,,,,
1359914924,68091JZ,NY,COM,7/22/73,46,DELV,TOYOT,P,10610,34030,34050,20140228,10,10,401,926246,401,0,1216P,,NY,O,48,7 AVE,,0,408,F4,,BBBBBBB,ALL,ALL,WH,0,2010,-,0,,,,,
1355498326,EWV4127,NY,PAS,8/12/73,21,SUBN,ACURA,X,42630,10030,10080,20140113,68,68,0,594301,KS10,0,0805A,,K,F,7003,FT HAMILTON PKWY,,0,408,D1,,YYYYYYB,0800A,0830A,GREY,0,2005,-,0,,,,,
1361272259,P4ZO671,99,999,9/22/73,21,SDN,BMW,P,34550,10610,10810,0,14,14,14,946558,14,0,0207A,,NY,O,205,W 39 ST,,0,408,E1,,BBBBBBY,0200A,600,BK,0,0,-,0,,,,,
1360588279,F49DAE,NJ,PAS,9/25/73,21,SDN,LEXUS,S,48030,78230,78330,0,90,90,0,567970,KN01,0,0745A,,K,F,160,HAVEMEYER ST,,0,408,D1,,YYYYYYB,0730A,0800A,SILVE,0,0,-,0,,,,,
1360588267,LE44037,99,COM,9/25/73,66,TRLR,,S,0,40404,40404,0,94,94,0,867970,KN09,0,0722A,,K,O,,I8OMASAMMK,,0,408,D1,,BBBBBBB,ALL,ALL,ORANG,0,0,-,0,,,,,
1360016156,77618KA,NY,COM,10/15/73,46,DELV,MERCU,P,52930,63030,93250,20140630,84,84,84,921824,84,0,0814A,,K,F,340,JAY ST,,0,408,J6,,BBBBBBB,ALL,ALL,GR,0,1973,-,0,,,,,
1255986920,49916MD,NY,COM,10/30/73,59,FEDE,GMC,K,30640,0,0,88888888,1,1,1,160203,1,0,0138P,,NY,F,,SOUTH STREET,GOUVERNUR ST EAST RI,0,408,D,,BBBBBBB,ALL,ALL,WHITE,0,1995,-,0,,,,,
1359121262,WRZ97S,NJ,PAS,11/12/73,31,SUBN,JEEP,P,21590,23170,57550,0,106,106,106,943896,106,0,0730A,,Q,F,149 36,124 ST,,0,408,E5,,BBBBBBB,ALL,ALL,BLU,0,2004,-,0,,,,,
1350454229,1434477,ME,PAS,11/13/73,66,TRLR,FRUEH,S,24965,60520,65520,20140228,41,41,0,533213,BX02,0,1246P,,BX,F,669,DRAKE ST,,0,408,K4,,BBBBBBB,ALL,ALL,SILVE,0,0,-,0,,,,,
1364684342,62421JM,NY,COM,1/15/74,46,DELV,,P,0,0,0,0,62,62,62,938416,62,0,1020A,,K,F,1622,W 125,,0,408,F2,,BBBBBBB,ALL,ALL,BR,0,0,-,0,,,,,
